MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
870.0,12.84,255.52,867.61,-0.91,-35.32,-18.58,1.876,0.15,8.43
880.0,12.75,256.87,877.36,-1.44,-37.47,-19.9,0.937,-0.27,4.05
890.0,12.55,257.29,887.12,-1.93,-39.61,-21.19,0.66,-0.6,1.26
900.0,12.18,258.31,896.89,-2.38,-41.7,-22.42,1.289,-1.11,3.06
910.0,11.4,260.19,906.68,-2.77,-43.71,-23.56,2.608,-2.34,5.64
920.0,10.91,261.87,916.49,-3.07,-45.62,-24.59,1.764,-1.47,5.04
930.0,10.76,262.94,926.31,-3.32,-47.48,-25.54,0.753,-0.45,3.21
940.0,10.58,264.05,936.14,-3.53,-49.32,-26.46,0.82,-0.54,3.33
950.0,10.53,264.5,945.97,-3.71,-51.14,-27.34,0.289,-0.15,1.35
960.0,10.52,265.36,955.8,-3.87,-52.96,-28.2,0.472,-0.03,2.58
970.0,10.48,266.01,965.63,-4.01,-54.78,-29.04,0.375,-0.12,1.95
980.0,10.36,267.69,975.47,-4.11,-56.59,-29.83,0.98,-0.36,5.04
990.0,10.31,270.33,985.31,-4.14,-58.38,-30.56,1.429,-0.15,7.92
1000.0,10.29,272.52,995.14,-4.09,-60.17,-31.22,1.176,-0.06,6.57
1010.0,10.34,273.32,1004.98,-4.0,-61.95,-31.84,0.455,0.15,2.4
1020.0,10.39,274.63,1014.82,-3.88,-63.75,-32.42,0.723,0.15,3.93
1030.0,10.48,275.34,1024.65,-3.72,-65.55,-32.99,0.471,0.27,2.13
1040.0,10.47,275.48,1034.49,-3.55,-67.36,-33.54,0.082,-0.03,0.42
1050.0,10.49,275.78,1044.32,-3.37,-69.17,-34.08,0.174,0.06,0.9
1060.0,10.66,277.07,1054.15,-3.17,-71.0,-34.6,0.874,0.51,3.87
1070.0,11.01,278.92,1063.97,-2.9,-72.86,-35.09,1.48,1.05,5.55
1080.0,11.46,281.15,1073.78,-2.56,-74.78,-35.53,1.876,1.35,6.69
1090.0,12.02,283.68,1083.57,-2.13,-76.76,-35.9,2.282,1.68,7.59
1100.0,13.04,287.32,1093.33,-1.54,-78.85,-36.18,3.869,3.06,10.92
1110.0,14.19,289.87,1103.05,-0.79,-81.08,-36.36,3.891,3.45,7.65
1120.0,15.14,291.09,1112.73,0.1,-83.45,-36.48,2.997,2.85,3.66
1130.0,16.29,291.76,1122.35,1.09,-85.97,-36.55,3.493,3.45,2.01
1140.0,18.12,291.94,1131.91,2.19,-88.72,-36.61,5.492,5.49,0.54
1150.0,19.37,291.62,1141.37,3.38,-91.7,-36.68,3.763,3.75,-0.96
1160.0,20.2,291.03,1150.78,4.61,-94.86,-36.78,2.561,2.49,-1.77
1170.0,20.94,290.28,1160.15,5.85,-98.14,-36.93,2.357,2.22,-2.25
1180.0,21.74,288.95,1169.46,7.07,-101.57,-37.15,2.805,2.4,-3.99
1190.0,22.06,288.24,1178.74,8.26,-105.11,-37.43,1.246,0.96,-2.13
1200.0,22.3,287.56,1188.0,9.42,-108.7,-37.77,1.054,0.72,-2.04
1210.0,22.53,286.61,1197.24,10.54,-112.34,-38.17,1.287,0.69,-2.85
1220.0,22.78,285.44,1206.47,11.6,-116.05,-38.64,1.546,0.75,-3.51
1230.0,22.91,284.77,1215.69,12.61,-119.79,-39.17,0.872,0.39,-2.01
1240.0,22.99,284.46,1224.9,13.6,-123.57,-39.74,0.435,0.24,-0.93
1250.0,23.1,284.53,1234.1,14.58,-127.36,-40.32,0.34,0.33,0.21
1260.0,23.02,284.46,1243.3,15.56,-131.15,-40.9,0.254,-0.24,-0.21
1270.0,22.4,284.23,1252.52,16.51,-134.89,-41.49,1.879,-1.86,-0.69
1280.0,22.06,284.22,1261.78,17.44,-138.56,-42.07,1.02,-1.02,-0.03
