MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
3369.9,53.32,40.54,2840.75,497.49,130.6,505.02,3.133,-3.133,-0.007
3410.2,49.77,38.28,2865.81,521.86,150.64,535.28,2.953,-2.643,-1.682
3450.3,48.06,37.47,2892.16,545.71,169.2,564.5,1.358,-1.279,-0.606
3490.7,44.78,38.77,2920.01,568.74,187.26,592.75,2.534,-2.436,0.965
3531.1,40.65,38.36,2949.69,590.16,204.34,619.15,3.074,-3.067,-0.304
3571.7,39.98,38.78,2980.65,610.7,220.72,644.46,0.534,-0.495,0.31
3611.1,40.0,39.49,3010.83,630.34,236.7,668.78,0.348,0.015,0.541
3638.99,40.02,39.18,3032.2,644.21,248.06,685.99,0.216,0.022,-0.335
3652.3,40.03,39.03,3042.39,650.85,253.46,694.22,0.216,0.022,-0.335
3692.3,39.89,38.19,3073.05,670.92,269.49,718.96,0.418,-0.105,-0.63
3732.8,39.93,38.19,3104.11,691.35,285.56,744.04,0.03,0.03,0.0
3749.1,39.98,38.48,3116.61,699.56,292.05,754.14,0.357,0.099,0.534
3762.0,39.98,38.48,3126.49,706.05,297.21,762.13,0.0,0.0,0.0
